gene,ensembl_gene_id,log2FoldChange,padj
Pomc,ENSMUSG00000020660,6.15425,0
Cul3,ENSMUSG00000004364,3.8142,0
mt-Atp6,ENSMUSG00000064357,-4.57611,0
Cartpt,ENSMUSG00000021647,3.25473,0
Rn7sk,ENSMUSG00000065037,-2.96629,0
Slc1a3,ENSMUSG00000005360,-2.2931,0
Elp6,ENSMUSG00000054836,-3.12641,0
Serpina3n,ENSMUSG00000021091,3.10314,0
Tbx3,ENSMUSG00000018604,3.56202,0
Asb4,ENSMUSG00000042607,2.75024,0
mt-Nd4l,ENSMUSG00000065947,-3.26114,0
Apoe,ENSMUSG00000002985,-2.31216,0
Qk,ENSMUSG00000062078,-2.1693,0
Olig1,ENSMUSG00000046160,-2.06648,0
Plaat3,ENSMUSG00000060675,-2.37802,0
Gpx3,ENSMUSG00000018339,1.80585,0
Plagl1,ENSMUSG00000019817,2.45976,0
mt-Nd5,ENSMUSG00000064367,-2.80927,0
Zeb2,ENSMUSG00000026872,-2.41577,0
Prdm12,ENSMUSG00000079466,3.82298,0
Selenop,ENSMUSG00000064373,-1.99095,0
Car2,ENSMUSG00000027562,-2.13884,0
Pmch,ENSMUSG00000035383,-2.24034,0
Aldh1a1,ENSMUSG00000053279,-1.96103,0
Rn7s1,ENSMUSG00000099021,-2.37194,0
Dbi,ENSMUSG00000026385,-1.85299,0
Ednrb,ENSMUSG00000022122,-2.1997,0
Myo6,ENSMUSG00000033577,-2.1269,0
Sdc4,ENSMUSG00000017009,-1.96762,0
Aqp4,ENSMUSG00000024411,-2.29956,0
Ermn,ENSMUSG00000026830,-2.31153,0
Plpp3,ENSMUSG00000028517,-2.05382,0
Cited1,ENSMUSG00000051159,2.64202,0
Slc4a4,ENSMUSG00000060961,-2.05997,0
Itih3,ENSMUSG00000006522,-2.02563,0
Glp1r,ENSMUSG00000024027,3.01328,0
Atp1a2,ENSMUSG00000007097,-1.92902,0
Epas1,ENSMUSG00000024140,-1.81292,0
Ddx46,ENSMUSG00000021500,1.98337,0
mt-Nd3,ENSMUSG00000064360,-3.23076,0
Nfia,ENSMUSG00000028565,-1.7827,0
Cryab,ENSMUSG00000032060,-1.79739,0
Hepacam,ENSMUSG00000046240,-2.06529,0
mt-Ts1,ENSMUSG00000064352,-3.34368,0
Prex2,ENSMUSG00000048960,-1.89061,0
Tmem229a,ENSMUSG00000048022,-1.96981,0
Il33,ENSMUSG00000024810,-1.88439,0
Ndrg2,ENSMUSG00000004558,-1.51261,0
Sparc,ENSMUSG00000018593,-1.90283,0
S100b,ENSMUSG00000033208,-2.09821,0
Prok2,ENSMUSG00000030069,4.16132,0
Slc1a2,ENSMUSG00000005089,-1.9483,0
Acsbg1,ENSMUSG00000032281,-1.96101,0
Cnp,ENSMUSG00000006782,-1.53677,0
Hcrt,ENSMUSG00000045471,-2.41106,0
Nwd1,ENSMUSG00000048148,-2.08689,0
Gm28438,ENSMUSG00000101939,-3.24694,0
2900052N01Rik,ENSMUSG00000099696,-2.1456,0
Slc6a11,ENSMUSG00000030307,-1.70818,0
Fam107a,ENSMUSG00000021750,-1.69575,0
Npy1r,ENSMUSG00000036437,1.91178,0
Glul,ENSMUSG00000026473,-1.35129,0
Kcnj10,ENSMUSG00000044708,-1.81546,0
Pdyn,ENSMUSG00000027400,1.95765,0
mt-Nd4,ENSMUSG00000064363,-3.79913,0
Gm9517,ENSMUSG00000104103,-2.18139,0
